,1,2,3,4
SG_PAL1112_111219_B_10m,930,1850,3646,5530
SG_PAL1112_111222_B_10_Pr18,650,1331,2368,3344
SG_PAL1112_111228_B_10_Pr_36,592,2484,11508,4563
SG_PAL1112_120105_B_10_Pr_57,1067,3771,6850,6193
SG_PAL1112_120109_B_10_Pr_88,786,1947,4901,4011
SG_PAL1112_120112_B_10_Pr_108,388,786,2213,2865
SG_PAL1112_120116_B_10_141,622,2721,9297,4276
SG_PAL1112_120119_B_10_Pr161,323,672,2131,3301
SG_PAL1112_120123_B_10_181,189,269,2490,3035
SG_PAL1112_120126_B_10_Pr_201,236,303,1251,2382
SG_PAL1112_120130_B_10_Pr_222,187,351,539,1275
SG_PAL1112_120213_B_10,292,656,1638,2518
SG_PAL1112_120217_B_10,202,486,1490,1978
SG_PAL1112_120220_B_10,304,545,1443,2123
SG_PAL1112_120223_B_10,530,1019,2070,3432
SG_PAL1112_120301_B_10,491,1300,1617,2387
SG_PAL1112_120306_B_10,742,2264,1997,2395
SG_PAL1112_120309_B_10,119,418,916,2858
SG_PAL1112_120312_B_10,774,2110,1955,3359
SG_PAL1112_120319_B_10,560,2009,2482,7410
