,1,2,3,4
SG_PAL1213_121031_B_10,0,10,33,11313
SG_PAL1213_121107_B_10,1550,2046,638,2894
SG_PAL1213_121110_B_10,722,1489,748,2604
SG_PAL1213_121114_B_10,897,999,611,2306
SG_PAL1213_121116_B_10,1214,1483,599,2431
SG_PAL1213_121119_B_10,1145,1531,480,2407
SG_PAL1213_121122_B_10,1098,1889,550,2376
SG_PAL1213_121127_B_10,2948,1942,881,2417
SG_PAL1213_121130_B_10,7075,5163,655,2406
SG_PAL1213_121204_B_10,4001,2908,629,2551
SG_PAL1213_121207_B_10,10988,3306,738,2726
SG_PAL1213_121210_B_10,9582,2209,926,2807
SG_PAL1213_121213_B_10,10567,3257,1263,2652
SG_PAL1213_121217_B_10,4686,3715,1987,2934
SG_PAL1213_121220_B_10,1052,1402,644,2447
SG_PAL1213_121223_B_10,1478,1274,653,2746
SG_PAL1213_121227_B_10,3147,2169,939,2251
SG_PAL1213_130102_B_10,2959,2323,957,2326
