,1,2,3,4
SGr_PAL1314_131026_PH_1_A,1023,1368,611,4547
SGr_PAL1314_131125_PH_A,861,834,614,3891
SGr_PAL1314_131204_PH_1,469,419,673,3715
SGr_PAL1314_131209_PH_1,1052,1257,950,3909
SG_PAL1314_131212_B_0_Li,2298,1533,1702,3863
SG_PAL1314_131212_B_10_Li,2508,2552,1858,3734
SG_PAL1314_131212_B_20_Li,1206,1728,912,3828
SG_PAL1314_131212_B_30_Li,984,1713,942,3691
SG_PAL1314_131212_B_40_Li,705,1478,714,3616
SG_PAL1314_131212_B_5_Li,2130,1451,1591,3739
SG_PAL1314_131212_B_50_Li,695,1425,677,3750
SG_PAL1314_131217_PH_1_Li,1717,1461,2208,1734
SG_PAL1314_131217_PH_2_Li,1670,1501,2564,1811
SG_PAL1314_131217_PH_3_Li,1667,1465,2409,1533
SG_PAL1314_131220_PH_1_Li,1797,1068,1196,3216
SG_PAL1314_131220_PH_2_Li,1840,1149,1221,3517
SG_PAL1314_131220_PH_3_Li,2185,1240,1334,3441
SG_PAL1314_131224_B_0_Li,4057,2667,2391,4203
SG_PAL1314_131224_B_10_Li,4595,4798,3359,4195
SG_PAL1314_131224_B_20_Li,3556,4576,2317,4060
SG_PAL1314_131224_B_30_Li,2509,4207,1328,4012
SG_PAL1314_131224_B_5_Li,4551,4729,6720,4077
SG_PAL1314_131224_B_50_Li,1325,2601,504,3988
SG_PAL1314_131225_PH_1_Li,1328,1527,965,2950
SG_PAL1314_131225_PH_2_Li,1386,1493,874,3182
SG_PAL1314_131225_PH_3_Li,1385,1542,1014,3080
SG_PAL1314_131227_B_0_Li,4000,2543,2660,2667
SG_PAL1314_131227_B_10_Li,3165,2746,2640,3215
SG_PAL1314_131227_B_20_Li,3098,3134,2617,3318
SG_PAL1314_131227_B_30_Li,2212,3007,2775,2359
SG_PAL1314_131227_B_40_Li,1600,2941,2367,2762
SG_PAL1314_131227_B_5_Li,3452,2782,3091,2914
SG_PAL1314_131227_B_50_Li,1135,2328,1054,3248
SG_PAL1314_131227_E_0_Li,4055,2407,2239,2419
SG_PAL1314_131227_E_10_Li,3286,2392,2240,2602
SG_PAL1314_131227_E_20_Li,1954,2157,1370,3408
SG_PAL1314_131227_E_35_Li,990,1546,963,3314
SG_PAL1314_131227_E_5_Li,3664,2363,2084,3345
SG_PAL1314_131227_E_50_Li,779,1802,767,3253
SG_PAL1314_131227_E_65_Li,695,1424,588,3028
SG_PAL1314_131231_B_0_Li,10663,3748,3883,2479
SG_PAL1314_131231_B_10_Li,9809,3988,3289,2626
SG_PAL1314_131231_B_20_Li,9603,4322,2995,1981
SG_PAL1314_131231_B_30_Li,9480,4638,1824,2560
SG_PAL1314_131231_B_40_Li,7683,4588,1787,2305
SG_PAL1314_131231_B_5_Li,10266,3702,3172,2313
SG_PAL1314_131231_B_50_Li,9283,3831,2235,2397
SG_PAL1314_140102_B_0_Li,8079,3486,4913,2644
SG_PAL1314_140102_B_10_Li,8098,3632,4482,2536
SG_PAL1314_140102_B_20_Li,12662,4745,3807,2666
SG_PAL1314_140102_B_30_Li,10268,5339,3128,2592
SG_PAL1314_140102_B_40_Li,10175,5309,1974,2557
SG_PAL1314_140102_B_5_Li,8227,3308,4215,2038
SG_PAL1314_140102_B_50_Li,7815,5473,1829,2340
SG_PAL1314_140102_E_0_Li,6861,3697,6115,2415
