,1,2,3,4
SG_PAL1314_140102_E_10_Li,8075,4094,4446,2531
SG_PAL1314_140102_E_20_Li,9327,4846,2294,3146
SG_PAL1314_140102_E_35_Li,5517,4177,1817,2584
SG_PAL1314_140102_E_5_Li,7631,3845,4927,2665
SG_PAL1314_140102_E_50_Li,5238,4374,1050,2391
SG_PAL1314_140102_E_65_Li,3378,3376,1086,2288
SG_PAL1314_140104_E_0_Li,8443,2564,1729,1176
SG_PAL1314_140104_E_10_Li,6789,2842,2226,1375
SG_PAL1314_140104_E_20_Li,11407,4231,810,1856
SG_PAL1314_140104_E_35_Li,2503,2182,235,1359
SG_PAL1314_140104_E_5_Li,2524,8470,3868,929
SG_PAL1314_140104_E_50_Li,2156,2172,269,2290
SG_PAL1314_140104_E_65_Li,1733,1732,296,2375
SG_PAL1314_140110_PH_1_Pr,2392,4116,9429,2791
SG_PAL1314_140110_PH_2_Pr,2043,3576,7552,2912
SG_PAL1314_140116_B_0_Pr,7859,2137,1900,2212
SG_PAL1314_140116_B_10_Pr,5133,2330,2081,2484
SG_PAL1314_140116_B_20_Pr,3821,2394,2725,2313
SG_PAL1314_140116_B_30_Pr,3962,2474,1578,2609
SG_PAL1314_140116_B_40_Pr,8914,3818,1671,2450
SG_PAL1314_140116_B_5_Pr,6937,2489,2681,2192
SG_PAL1314_140116_B_50_Pr,10061,5994,1116,2315
SG_PAL1314_140116_E_0_Pr,3820,2146,2529,2129
SG_PAL1314_140116_E_10_Pr,2799,2251,2774,2668
SG_PAL1314_140116_E_20_Pr,2495,1748,1710,2437
SG_PAL1314_140116_E_5_Pr,2789,2174,2896,2653
SG_PAL1314_140116_E_50_Pr,3966,2929,2489,2638
SG_PAL1314_140116_E_65_Pr,3813,2451,2597,2393
SG_PAL1314_140120_B_0_Pr,18618,6640,9314,2953
SG_PAL1314_140120_B_10_Pr,9475,3876,3897,2103
SG_PAL1314_140120_B_20_Pr,6431,3031,3154,2464
SG_PAL1314_140120_B_30_Pr,3310,2479,1408,2738
SG_PAL1314_140120_B_40_Pr,4213,3485,2091,2750
SG_PAL1314_140120_B_5_Pr,12160,4283,4307,1856
SG_PAL1314_140120_B_50_Pr,9448,8414,1493,2489
SG_PAL1314_140120_E_0_Pr,5951,3632,3874,2201
SG_PAL1314_140120_E_10_Pr,5106,3519,4844,2923
SG_PAL1314_140120_E_20_Pr,3281,2881,2398,2576
SG_PAL1314_140120_E_35_Pr,3449,3582,1314,2977
SG_PAL1314_140120_E_5_Pr,6519,3915,4838,2606
SG_PAL1314_140120_E_50_Pr,3690,4830,1191,2723
SG_PAL1314_140120_E_65_Pr,2373,3561,965,2012
SG_PAL1314_140123_B_0_Pr,12966,5062,4383,2293
SG_PAL1314_140123_B_10_Pr,13902,5028,2207,2477
SG_PAL1314_140123_B_20_Pr,12937,5213,1966,2404
SG_PAL1314_140123_B_30_Pr,7169,4035,2374,2347
SG_PAL1314_140123_B_40_Pr,4218,3682,1238,2429
SG_PAL1314_140123_B_5_Pr,14161,5412,3557,2220
SG_PAL1314_140123_B_50_Pr,5029,5760,1056,2382
SG_PAL1314_140123_E_0_Pr,10479,4733,2838,2865
SG_PAL1314_140123_E_10_Pr,9542,4139,2180,2802
SG_PAL1314_140123_E_20_Pr,7432,3753,2025,3079
SG_PAL1314_140123_E_35_Pr,5478,3409,1985,2374
SG_PAL1314_140123_E_5_Pr,9911,4424,2208,2503
SG_PAL1314_140123_E_50_Pr,3138,3142,1052,2850
SG_PAL1314_140123_E_65_Pr,1653,3018,674,2731
SG_PAL1314_140127_B_0_Pr,17963,6312,5711,2981
SG_PAL1314_140127_B_10_Pr,13911,6249,3316,2715
SG_PAL1314_140127_B_20_Pr,10581,5546,2503,2882
SG_PAL1314_140127_B_30_Pr,8919,5071,2094,2621
SG_PAL1314_140127_B_40_Pr,4682,4489,1862,2580
SG_PAL1314_140127_B_5_Pr,17178,7120,4484,2822
SG_PAL1314_140127_B_50_Pr,3334,3930,1197,1571
SG_PAL1314_140127_E_0_Pr,16054,4941,3556,2509
SG_PAL1314_140127_E_10_Pr,10494,3790,3274,2541
SG_PAL1314_140127_E_20_Pr,10303,4700,2800,2529
SG_PAL1314_140127_E_35_Pr,6328,4284,1704,1825
SG_PAL1314_140127_E_5_Pr,10498,4362,2837,2469
SG_PAL1314_140127_E_50_Pr,3311,3561,1301,2419
SG_PAL1314_140127_E_65_Pr,2048,2600,878,2257
SG_PAL1314_140130_B_0_Pr,6510,4523,5155,2925
SG_PAL1314_140130_B_10_Pr,3773,4645,3305,2509
SG_PAL1314_140130_B_20_Pr,2444,5141,3328,2637
SG_PAL1314_140130_B_30_Pr,2176,4594,2582,2330
SG_PAL1314_140130_B_40_Pr,1472,3679,1977,2353
SG_PAL1314_140130_B_5_Pr,5037,4186,3820,2515
SG_PAL1314_140130_B_50_Pr,1302,3184,1554,2385
SG_PAL1314_140130_E_0_Pr,5805,3441,2839,2815
SG_PAL1314_140130_E_10_Pr,4313,4763,2793,2284
SG_PAL1314_140130_E_20_Pr,3136,4883,2656,2239
SG_PAL1314_140130_E_35_Pr,1975,4323,1557,2304
SG_PAL1314_140130_E_5_Pr,5974,3668,2421,2681
SG_PAL1314_140130_E_50_Pr,1295,3293,1195,2160
SG_PAL1314_140130_E_65_Pr,994,2834,726,2044
SG_PAL1314_140203_B_0_Pr,6621,3005,4533,2242
SG_PAL1314_140203_B_10_Pr,10475,4077,5360,2323
SG_PAL1314_140203_B_20_Pr,5207,5042,2984,2298
SG_PAL1314_140203_B_30_Pr,3001,3993,1599,2365
SG_PAL1314_140203_B_40_Pr,2195,3448,1298,2302
SG_PAL1314_140203_B_5_Pr,10844,3825,5875,1998
SG_PAL1314_140203_B_50_Pr,2064,2893,1213,2273
SG_PAL1314_140203_E_0_Pr,8025,3679,5513,2662
SG_PAL1314_140203_E_10_Pr,8684,4041,4482,2625
SG_PAL1314_140203_E_20_Pr,6552,5007,1923,2343
SG_PAL1314_140203_E_35_Pr,2280,3919,997,2339
SG_PAL1314_140203_E_5_Pr,9346,3859,4853,2497
SG_PAL1314_140203_E_50_Pr,942,2521,881,2192
SG_PAL1314_140203_E_65_Pr,901,2413,955,2298
SG_PAL1314_140206_B_0_Pr,7240,3708,4924,2860
SG_PAL1314_140206_B_10_Pr,5487,4649,3920,3006
SG_PAL1314_140206_B_20_Pr,3374,5262,1622,2894
SG_PAL1314_140206_B_30_Pr,3084,4981,1833,2835
SG_PAL1314_140206_B_40_Pr,2419,4138,1302,2985
SG_PAL1314_140206_B_5_Pr,7017,3838,4433,2962
SG_PAL1314_140206_B_50_Pr,1923,3048,735,2350
SG_PAL1314_140206_E_0_Pr,11017,2733,2568,2770
SG_PAL1314_140206_E_10_Pr,8760,4031,3011,2591
SG_PAL1314_140206_E_20_Pr,17279,9913,6482,2535
SG_PAL1314_140206_E_35_Pr,2976,4655,1340,2831
SG_PAL1314_140206_E_5_Pr,10830,3619,4686,2640
SG_PAL1314_140206_E_50_Pr,1518,2826,918,2262
SG_PAL1314_140206_E_65_Pr,1094,2176,625,2404
SG_PAL1314_140210_B_0_Pr,3517,3688,3264,2102
SG_PAL1314_140210_B_10_Pr,3797,3418,2972,1856
SG_PAL1314_140210_B_20_Pr,3517,3933,2460,1771
SG_PAL1314_140210_B_30_Pr,2897,3764,1896,1603
SG_PAL1314_140210_B_40_Pr,2031,3731,1189,1206
SG_PAL1314_140210_B_5_Pr,3199,3577,2512,1652
SG_PAL1314_140210_B_50_Pr,1658,3402,1200,1484
SG_PAL1314_140210_E_0_Pr,3252,3743,2200,1082
SG_PAL1314_140210_E_10_Pr,4356,3911,2362,1828
SG_PAL1314_140210_E_20_Pr,4133,4418,2084,1900
SG_PAL1314_140210_E_35_Pr,2898,4448,1359,2005
SG_PAL1314_140210_E_5_Pr,3437,3740,2205,1667
SG_PAL1314_140210_E_50_Pr,1744,3789,1146,1781
SG_PAL1314_140210_E_65_Pr,762,1687,2107,912
SG_PAL1314_140214_B_0_Pr,2151,3350,1406,1912
SG_PAL1314_140214_B_10_Pr,1855,3094,1165,1792
SG_PAL1314_140214_B_20_Pr,2031,3272,1362,1805
SG_PAL1314_140214_B_30_Pr,1958,3313,1045,1845
SG_PAL1314_140214_B_40_Pr,1953,3484,1109,1950
SG_PAL1314_140214_B_5_Pr,1919,3106,1051,1795
SG_PAL1314_140214_B_50_Pr,1620,3522,1035,1752
SG_PAL1314_140214_E_0_Pr,2745,3543,1995,2053
SG_PAL1314_140214_E_10_Pr,2543,3549,2139,1975
SG_PAL1314_140214_E_20_Pr,2389,3463,1923,1852
SG_PAL1314_140214_E_35_Pr,2214,3758,1283,1809
SG_PAL1314_140214_E_5_Pr,2443,3385,1863,1948
SG_PAL1314_140214_E_50_Pr,2555,4863,1435,1425
SG_PAL1314_140214_E_65_Pr,1701,3445,990,1736
SG_PAL1314_140217_B_0_Li,2659,3306,4078,634
SG_PAL1314_140217_B_10_Li,2013,3140,3886,450
SG_PAL1314_140217_B_20_Li,1959,3074,3170,513
SG_PAL1314_140217_B_30_Li,1865,2890,2793,720
SG_PAL1314_140217_B_40_Li,2068,3023,2239,1011
SG_PAL1314_140217_B_5_Li,1982,2891,3276,480
SG_PAL1314_140217_B_50_Li,1799,3124,1836,1070
SG_PAL1314_140217_E_0_Li,2365,2833,2488,670
SG_PAL1314_140217_E_10_Li,2311,2876,3949,1305
SG_PAL1314_140217_E_20_Li,1581,2860,4021,533
SG_PAL1314_140217_E_35_Li,1951,3188,2739,994
SG_PAL1314_140217_E_5_Li,2363,2777,3154,563
SG_PAL1314_140217_E_50_Li,2064,4120,2329,669
SG_PAL1314_140217_E_65_Li,1503,3149,1215,961
SG_PAL1314_140221_B_0_Li,2706,2351,3595,1319
SG_PAL1314_140221_B_10_Li,2458,2430,3018,1036
SG_PAL1314_140221_B_20_Li,1988,2436,2311,2174
SG_PAL1314_140221_B_30_Li,1434,2727,1954,1879
SG_PAL1314_140221_B_40_Li,1350,2724,1761,2382
SG_PAL1314_140221_B_5_Li,2543,2421,3183,306
SG_PAL1314_140221_B_50_Li,1132,2331,1295,1879
SG_PAL1314_140221_E_0_Li,2347,2877,2917,1393
SG_PAL1314_140221_E_10_Li,2329,2975,2994,1516
SG_PAL1314_140221_E_20_Li,2228,2722,2788,1310
SG_PAL1314_140221_E_35_Li,3586,5729,2860,1072
SG_PAL1314_140221_E_5_Li,2319,3026,3001,1183
SG_PAL1314_140221_E_50_Li,1905,4272,1495,1190
SG_PAL1314_140221_E_65_Li,1235,3108,926,1920
SG_PAL1314_140224_B_0_Li,4762,3828,2624,960
SG_PAL1314_140224_B_10_Li,2645,3403,2414,754
SG_PAL1314_140224_B_20_Li,1866,3685,1980,1305
SG_PAL1314_140224_B_30_Li,1150,3199,1278,2113
SG_PAL1314_140224_B_40_Li,903,2758,908,2368
SG_PAL1314_140224_B_5_Li,3107,3382,2274,436
SG_PAL1314_140224_B_50_Li,851,2299,788,1801
SG_PAL1314_140228_B_0_Li,4691,4711,2841,422
SG_PAL1314_140228_B_10_Li,4275,4963,2594,740
SG_PAL1314_140228_B_20_Li,3219,4509,2280,1258
SG_PAL1314_140228_B_30_Li,1860,4377,1664,1929
SG_PAL1314_140228_B_40_Li,1207,3382,1102,1299
SG_PAL1314_140228_B_5_Li,4407,4921,3046,1124
SG_PAL1314_140228_B_50_Li,1090,2862,999,1790
SG_PAL1314_140228_E_0_Li,2606,4013,2997,375
SG_PAL1314_140228_E_10_Li,2228,3676,2956,500
SG_PAL1314_140228_E_20_Li,2462,3819,3019,1592
SG_PAL1314_140228_E_35_Li,2063,4314,1701,1067
SG_PAL1314_140228_E_5_Li,2613,3890,3410,1069
SG_PAL1314_140228_E_50_Li,1307,2981,936,1424
SG_PAL1314_140228_E_65_Li,920,2471,531,2014
SG_PAL1314_140304_B_0_Li,5445,4308,3107,1065
SG_PAL1314_140304_B_10_Li,4607,3980,3255,1719
SG_PAL1314_140304_B_20_Li,3379,3590,2926,793
SG_PAL1314_140304_B_30_Li,3602,3849,2542,1326
SG_PAL1314_140304_B_40_Li,2535,3589,1848,2255
SG_PAL1314_140304_B_5_Li,5491,4516,3100,1524
SG_PAL1314_140304_B_50_Li,1462,2638,1135,1959
SG_PAL1314_140304_E_0_Li,2957,3365,3178,1232
SG_PAL1314_140304_E_10_Li,2699,3383,2940,561
SG_PAL1314_140304_E_20_Li,2494,3390,2916,1380
SG_PAL1314_140304_E_35_Li,1205,2733,1155,1776
SG_PAL1314_140304_E_5_Li,2478,3372,3035,1061
SG_PAL1314_140304_E_50_Li,903,2268,868,1988
SG_PAL1314_140304_E_65_Li,652,2099,684,2225
SG_PAL1314_140307_B_0_Li,4336,5581,1735,1350
SG_PAL1314_140307_B_10_Li,4034,5606,1777,384
SG_PAL1314_140307_B_20_Li,3757,5440,1785,972
SG_PAL1314_140307_B_30_Li,7496,6476,2835,2920
SG_PAL1314_140307_B_40_Li,3294,5331,1449,855
SG_PAL1314_140307_B_5_Li,3950,5516,1862,949
SG_PAL1314_140307_B_50_Li,3078,5018,1613,1050
SG_PAL1314_140307_E_0_Li,3697,4959,2663,1617
SG_PAL1314_140307_E_10_Li,3061,5144,2443,1518
SG_PAL1314_140307_E_20_Li,3060,5282,2440,2269
SG_PAL1314_140307_E_35_Li,2610,5062,2329,1577
SG_PAL1314_140307_E_5_Li,3634,5081,2597,681
SG_PAL1314_140307_E_50_Li,3061,5061,2118,1680
SG_PAL1314_140307_E_65_Li,6050,5116,2171,2810
SG_PAL1314_140310_B_0_Li,3542,4981,1420,1088
SG_PAL1314_140310_B_10_Li,3326,5109,1182,920
SG_PAL1314_140310_B_20_Li,3466,4799,1353,1238
SG_PAL1314_140310_B_30_Li,3389,4968,1129,1575
SG_PAL1314_140310_B_40_Li,2475,4323,812,1022
SG_PAL1314_140310_B_5_Li,3395,5203,1181,1260
SG_PAL1314_140310_B_50_Li,2418,3685,619,1662
SG_PAL1314_140310_E_0_Li,3200,5280,1664,1055
SG_PAL1314_140310_E_10_Li,3173,5436,1843,1484
SG_PAL1314_140310_E_20_Li,3162,5322,1722,1273
SG_PAL1314_140310_E_35_Li,2413,4879,1395,1670
SG_PAL1314_140310_E_5_Li,3444,5234,1995,1553
SG_PAL1314_140310_E_50_Li,2133,4255,1082,2270
SG_PAL1314_140310_E_65_Li,4064,4093,1256,3028
SG_PAL1314_140313_B_0_Li,4211,5174,1995,2142
SG_PAL1314_140313_B_10_Li,3297,4891,1932,1999
SG_PAL1314_140313_B_20_Li,2263,4102,1588,2261
SG_PAL1314_140313_B_30_Li,1933,3198,973,2582
SG_PAL1314_140313_B_40_Li,1930,2988,845,2400
SG_PAL1314_140313_B_5_Li,3619,4637,1635,534
SG_PAL1314_140313_B_50_Li,1695,2736,743,2283
SG_PAL1314_140313_E_0_Li,3514,5441,2101,1932
SG_PAL1314_140313_E_10_Li,3570,4988,2045,1352
SG_PAL1314_140313_E_20_Li,2998,5363,1870,2016
SG_PAL1314_140313_E_35_Li,1991,3969,1277,2275
SG_PAL1314_140313_E_5_Li,3497,5171,2161,1887
SG_PAL1314_140313_E_50_Li,1484,3045,832,2271
SG_PAL1314_140313_E_65_Li,1022,2125,533,1492
SG_PAL1314_140317_B_0_Li,5313,5068,1763,1978
SG_PAL1314_140317_B_10_Li,4939,5143,1942,1042
SG_PAL1314_140317_B_20_Li,4768,4994,2086,1975
SG_PAL1314_140317_B_30_Li,4197,4987,1877,1378
SG_PAL1314_140317_B_40_Li,2769,4265,1453,1964
SG_PAL1314_140317_B_5_Li,5207,5339,1954,1451
SG_PAL1314_140317_B_50_Li,2360,3124,949,1817
SG_PAL1314_140317_E_0_Li,3752,4641,1913,1737
SG_PAL1314_140317_E_10_Li,3539,4619,2032,2140
SG_PAL1314_140317_E_20_Li,3313,4430,1816,1959
SG_PAL1314_140317_E_35_Li,2506,4174,1502,2010
SG_PAL1314_140317_E_5_Li,3805,4693,2095,1914
SG_PAL1314_140317_E_50_Li,1760,3099,832,2361
SG_PAL1314_140317_E_65_Li,1719,2920,818,2205
SG_PAL1314_140320_B_0_Li,5559,6742,2396,1887
SG_PAL1314_140320_B_10_Li,5464,6823,2235,1352
SG_PAL1314_140320_B_20_Li,4739,6487,2080,1508
SG_PAL1314_140320_B_30_Li,4532,6475,2234,2339
SG_PAL1314_140320_B_40_Li,4217,6477,2060,2165
SG_PAL1314_140320_B_5_Li,5575,6972,2366,2470
SG_PAL1314_140320_B_50_Li,4280,6680,2073,2656
SG_PAL1314_140320_E_0_Li,4917,6779,2341,1844
SG_PAL1314_140320_E_10_Li,4420,6820,2398,1635
SG_PAL1314_140320_E_20_Li,3948,6447,2313,2091
SG_PAL1314_140320_E_35_Li,3512,6183,2118,2383
SG_PAL1314_140320_E_5_Li,4697,6734,2655,1981
SG_PAL1314_140320_E_50_Li,3183,5812,1971,1867
SG_PAL1314_140320_E_65_Li,2766,5270,1721,1832
SG_PAL1314_140324_B_0_Li,5755,7757,1427,872
SG_PAL1314_140324_B_10_Li,6005,7867,2294,1719
SG_PAL1314_140324_B_20_Li,5068,7971,1794,2090
SG_PAL1314_140324_B_30_Li,3741,6350,1607,1648
SG_PAL1314_140324_B_40_Li,3229,5611,1255,2849
SG_PAL1314_140324_B_5_Li,6674,8574,1574,1229
SG_PAL1314_140324_B_50_Li,3024,4739,1122,2917
SG_PAL1314_140324_E_0_Li,5880,7651,1613,1377
SG_PAL1314_140324_E_10_Li,5006,7688,1684,1899
SG_PAL1314_140324_E_20_Li,4935,7459,1921,1620
SG_PAL1314_140324_E_35_Li,3723,6034,1491,2191
SG_PAL1314_140324_E_5_Li,5354,7586,1527,1112
SG_PAL1314_140324_E_50_Li,3109,5009,1198,1564
SG_PAL1314_140324_E_65_Li,2040,3331,768,2148
